total_return_pct,win_rate,max_drawdown_pct,sharpe_ratio,num_trades,window_start,window_end,window_number,compliance_passed,compliance_notes,compliance_firm,worst_daily_pnl,max_drawdown_amount,final_equity
0.0,0.0,-0.02,,1,2021-07-16 23:00:00+00:00,2021-07-31 12:00:00+00:00,30,True,All checks passed,FTMO,-5.446635558291578,-20.006948152760742,99986.85164210912
-0.01,0.0,-0.01,,1,2021-08-03 11:00:00+00:00,2021-08-18 00:00:00+00:00,31,True,All checks passed,FTMO,-4.649630060986901,-6.259726472620969,99998.45438684181
0.0,0.0,-0.01,,1,2021-08-20 23:00:00+00:00,2021-09-04 12:00:00+00:00,32,True,All checks passed,FTMO,-4.151712832790225,-13.912419911444886,99989.3222594495
-0.0,0.0,-0.02,,1,2021-09-07 11:00:00+00:00,2021-09-22 00:00:00+00:00,33,True,All checks passed,FTMO,-5.356034525101251,-14.917114940224565,99994.8561934908
0.05,0.0,-0.02,,1,2021-09-24 23:00:00+00:00,2021-10-09 12:00:00+00:00,34,True,All checks passed,FTMO,-10.84105410820711,-28.743481423487538,99992.95193029166
-0.02,0.0,-0.03,,1,2021-10-12 11:00:00+00:00,2021-10-27 00:00:00+00:00,35,True,All checks passed,FTMO,-4.2353423717025125,-12.802984101872426,99994.1549819777
0.02,0.0,-0.01,,1,2021-10-29 23:00:00+00:00,2021-11-13 12:00:00+00:00,36,True,All checks passed,FTMO,-6.082639107451411,-6.082639107451541,100001.57301337921
0.04,0.0,-0.0,,1,2021-11-16 11:00:00+00:00,2021-12-01 00:00:00+00:00,37,True,All checks passed,FTMO,-9.168618241657983,-10.412002413984737,100005.29575907043
-0.01,0.0,-0.05,,1,2021-12-03 23:00:00+00:00,2021-12-18 12:00:00+00:00,38,True,All checks passed,FTMO,-4.963300004154264,-12.65159574187419,100002.43100744497
-0.01,0.0,-0.05,,1,2021-12-21 11:00:00+00:00,2022-01-05 00:00:00+00:00,39,True,All checks passed,FTMO,-9.148657046192106,-18.018460650506313,99994.09620210138
0.02,0.0,-0.03,,1,2022-01-07 23:00:00+00:00,2022-01-22 12:00:00+00:00,40,True,All checks passed,FTMO,-12.102264018249258,-17.417390227899887,99989.02356561238
0.1,0.0,-0.03,,1,2022-01-25 11:00:00+00:00,2022-02-09 00:00:00+00:00,41,True,All checks passed,FTMO,-6.01072497524396,-22.88292937821825,100056.19997122066
-0.05,0.0,-0.05,,1,2022-02-11 23:00:00+00:00,2022-02-26 12:00:00+00:00,42,True,All checks passed,FTMO,-13.974397016801506,-13.974397016805597,100011.42561751553
-0.04,0.0,-0.04,,1,2022-03-01 11:00:00+00:00,2022-03-16 00:00:00+00:00,43,True,All checks passed,FTMO,-9.964087767006399,-37.63333008278278,99963.29694323802
0.01,0.0,-0.02,,1,2022-03-18 23:00:00+00:00,2022-04-02 12:00:00+00:00,44,True,All checks passed,FTMO,-13.365451182252789,-30.042089496273547,99984.80147821835
0.01,0.0,-0.02,,1,2022-04-05 11:00:00+00:00,2022-04-20 00:00:00+00:00,45,True,All checks passed,FTMO,-5.199287161673131,-10.418735122773796,100015.27512149625
0.06,0.0,-0.03,,1,2022-04-22 23:00:00+00:00,2022-05-07 12:00:00+00:00,46,True,All checks passed,FTMO,-13.441393943598362,-36.54537643381627,99994.70421476464
0.07,0.0,-0.02,,1,2022-05-10 11:00:00+00:00,2022-05-25 00:00:00+00:00,47,True,All checks passed,FTMO,-6.832716171017553,-10.268606736484799,100026.04164474085
-0.02,0.0,-0.05,,1,2022-05-27 23:00:00+00:00,2022-06-11 12:00:00+00:00,48,True,All checks passed,FTMO,-19.297105556315596,-35.40958569353097,99993.1746935616
0.05,0.0,-0.04,,1,2022-06-14 11:00:00+00:00,2022-06-29 00:00:00+00:00,49,True,All checks passed,FTMO,-16.471403704437265,-24.383677146441187,99994.5764159839
0.12,0.0,-0.02,,1,2022-07-01 23:00:00+00:00,2022-07-16 12:00:00+00:00,50,True,All checks passed,FTMO,-7.559865220189896,-9.623043674306246,100006.7523650493
-0.05,0.0,-0.08,,1,2022-07-19 11:00:00+00:00,2022-08-03 00:00:00+00:00,51,True,All checks passed,FTMO,-8.41832154498582,-28.03812585156993,99995.7489575856
0.03,0.0,-0.01,,1,2022-08-05 23:00:00+00:00,2022-08-20 12:00:00+00:00,52,True,All checks passed,FTMO,-7.406951648934146,-12.973517635487951,100008.10764686871
-0.01,0.0,-0.02,,1,2022-08-23 11:00:00+00:00,2022-09-07 00:00:00+00:00,53,True,All checks passed,FTMO,-7.39678720067624,-25.197333537682425,100004.60651703997
-0.0,0.0,-0.04,,1,2022-09-09 23:00:00+00:00,2022-09-24 12:00:00+00:00,54,True,All checks passed,FTMO,-7.264691413296121,-19.996178593544755,99999.03358195124
-0.06,0.0,-0.09,,1,2022-09-27 11:00:00+00:00,2022-10-12 00:00:00+00:00,55,True,All checks passed,FTMO,-14.19214573165045,-75.14459942081885,99941.6539300281
-0.03,0.0,-0.04,,1,2022-10-14 23:00:00+00:00,2022-10-29 12:00:00+00:00,56,True,All checks passed,FTMO,-8.313356007706867,-19.517238230473595,100002.79463108988
0.07,0.0,-0.02,,1,2022-11-01 11:00:00+00:00,2022-11-16 00:00:00+00:00,57,True,All checks passed,FTMO,-19.896139484776487,-35.0199784347933,99976.5963709708
-0.01,0.0,-0.01,,1,2022-11-18 23:00:00+00:00,2022-12-03 12:00:00+00:00,58,True,All checks passed,FTMO,-10.241633106513113,-17.14476216584444,99989.0743926839
0.04,0.0,-0.09,,1,2022-12-06 11:00:00+00:00,2022-12-21 00:00:00+00:00,59,True,All checks passed,FTMO,-6.611428882432643,-14.808796547207749,100027.67182313719
