,timestamp,close,regime,signal,signal_strength,position,action,entry_price,position_size,primary_reason,secondary_reason
6156,6156,118.937,HIGH_VOLATILITY,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6157,6157,118.937,HIGH_VOLATILITY,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6158,6158,118.937,HIGH_VOLATILITY,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6159,6159,118.937,HIGH_VOLATILITY,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6160,6160,118.937,HIGH_VOLATILITY,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6161,6161,118.937,HIGH_VOLATILITY,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6162,6162,118.937,HIGH_VOLATILITY,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6163,6163,118.937,NEUTRAL,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6164,6164,118.937,NEUTRAL,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6165,6165,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6166,6166,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6167,6167,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6168,6168,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6169,6169,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6170,6170,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6171,6171,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6172,6172,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6173,6173,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6174,6174,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6175,6175,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6176,6176,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6177,6177,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6178,6178,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6179,6179,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6180,6180,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6181,6181,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6182,6182,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6183,6183,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6184,6184,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6185,6185,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6186,6186,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6187,6187,118.937,RANGING,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6188,6188,118.937,NEUTRAL,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6189,6189,118.937,NEUTRAL,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6190,6190,118.937,NEUTRAL,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6191,6191,118.937,NEUTRAL,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6192,6192,118.937,NEUTRAL,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6193,6193,118.937,NEUTRAL,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6194,6194,118.937,NEUTRAL,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6195,6195,118.937,NEUTRAL,0,0.0,1,HOLD,119.968,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6196,6196,118.937,NEUTRAL,0,0.0,0,EXIT_DYNAMIC,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6197,6197,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6198,6198,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6199,6199,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6200,6200,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6201,6201,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6202,6202,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6203,6203,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6204,6204,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6205,6205,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6206,6206,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
6207,6207,118.937,NEUTRAL,0,0.0,0,WAIT,,,Signal too weak: MR=,"MOM=, Score below 0.7 threshold"
